"title","director","release_year","reference_year","entertainment","history","imdb_url","imdb_rating","img_url","img_title","history_numeric","entertainment_numeric","histertainment_numeric"
"The Vikings","Richard Fleischer",1958,"Circa 850","C+","C-","https://www.imdb.com/title/tt0052365/",7.1,"https://m.media-amazon.com/images/M/MV5BMjI0ZmZhYTctMzRkNy00ZDc3LWJiODItOWY0MDRiMjlhNjUwXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL_.jpg","thevikings.jpg",6,8,14
"Ben-Hur: A Tale of the Christ","William Wyler",1959,"29 CE","B-","C","https://www.imdb.com/title/tt0052618/",8.1,"https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg","benhurataleofthechrist.jpg",7,9,16
"Spartacus","Stanley Kubrick",1960,"71 BCE","A-","C+","https://www.imdb.com/title/tt0054331/",7.9,"https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg","spartacus.jpg",8,12,20
"El Cid","Anthony Mann",1961,"1080","A","D","https://www.imdb.com/title/tt0054847/",7.2,"https://m.media-amazon.com/images/M/MV5BNGY3N2E3NzYtMjgzMi00ZjA4LTg3YzUtN2ZiYjI1MGI2MWI2XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL_.jpg","elcid.jpg",4,13,17
"Lawrence of Arabia","David Lean",1962,"1916","A","C-","https://www.imdb.com/title/tt0056172/",8.3,"https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UY268_CR2,0,182,268_AL_.jpg","lawrenceofarabia.jpg",6,13,19
"Cleopatra","Joseph L. Mankiewicz",1963,"30 BCE","C+","A-","https://www.imdb.com/title/tt0056937/",7,"https://m.media-amazon.com/images/M/MV5BY2YyOGFlZWItY2M5OC00NzJhLWJmNDgtZTVjNzIzMDI3YjgyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg","cleopatra.jpg",12,8,20
"Becket","Peter Glenville",1964,"1170","B-","D","https://www.imdb.com/title/tt0057877/",7.8,"https://m.media-amazon.com/images/M/MV5BM2MyYTg5MDAtNjVlNy00MzZkLTgxOGQtMzVkZTdlYWNiYzUyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg","becket.jpg",4,9,13
"Zulu","Cy Endfield",1964,"1879","B+","C+","https://www.imdb.com/title/tt0058777/",7.7,"https://m.media-amazon.com/images/M/MV5BYzdlYmQ3MWMtMDY3My00MzVmLTg0YmMtYjRlZDUzNjBlMmE0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg","zulu.jpg",8,11,19
"The Greatest Story Ever Told","George Stevens",1965,"29 CE","E","C","https://www.imdb.com/title/tt0059245/",6.6,"https://m.media-amazon.com/images/M/MV5BMTU4NDQ3Mzg3Ml5BMl5BanBnXkFtZTcwNjg5MTkzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg","thegreateststoryevertold.jpg",7,1,8
"One Million Years B.C.","Don Chaffey",1966,"1000000 BCE","D","Fail","https://www.imdb.com/title/tt0060782/",5.7,"https://m.media-amazon.com/images/M/MV5BMTkzNjI1NDA2N15BMl5BanBnXkFtZTgwMjU0OTE0NTE@._V1_UY268_CR0,0,182,268_AL_.jpg","onemillionyearsbc.jpg",0,4,4
"Khartoum","Basil Dearden",1966,"1885","D+","C-","https://www.imdb.com/title/tt0060588/",6.8,"https://m.media-amazon.com/images/M/MV5BZDMwNDY2MmQtNGJjNi00MjQ0LTg2YTQtOTZlYTViYjcxYmI0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg","khartoum.jpg",6,5,11
"A Man for All Seasons","Fred Zinnemann",1966,"1536","B","A-","https://www.imdb.com/title/tt0060665/",7.7,"https://m.media-amazon.com/images/M/MV5BMTRjOTA1NzctNzFmMy00ZjcwLWExYjgtYWQyZDM5ZWY1Y2JlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","amanforallseasons.jpg",12,10,22
"Camelot","Joshua Logan",1967,"Circa 500","Fail","E","https://www.imdb.com/title/tt0061439/",6.7,"https://m.media-amazon.com/images/M/MV5BYTc5MjU3MTYtYTI0Yi00MDA1LTgzOTAtZGRiY2MxNTVhYTJkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg","camelot.jpg",1,0,1
"The Green Berets","John Wayne and Ray Kellog",1968,"1964","E+","Fail","https://www.imdb.com/title/tt0063035/",5.8,"https://m.media-amazon.com/images/M/MV5BZmVhZjBiNGEtMzFmYS00MmMwLTljYzgtN2IxZjYyNTcwY2U1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg","thegreenberets.jpg",0,2,2
"The Lion in Winter","Anthony Harvey",1968,"1183","A-","B","https://www.imdb.com/title/tt0063227/",7.9,"https://m.media-amazon.com/images/M/MV5BMTkzNzYyMzA5N15BMl5BanBnXkFtZTgwODcwODQ3MDI@._V1_UX182_CR0,0,182,268_AL_.jpg","thelioninwinter.jpg",10,12,22
"The Charge of the Light Brigade","Tony Richardson",1968,"1854","D","B","https://www.imdb.com/title/tt0062790/",6.7,"https://m.media-amazon.com/images/M/MV5BMjE3OTA3OTQ0OF5BMl5BanBnXkFtZTgwMDE5MDQ0MjE@._V1_UX182_CR0,0,182,268_AL_.jpg","thechargeofthelightbrigade.jpg",10,4,14
"Anne of the Thousand Days","Charles Jarrot",1969,"1536","C","C+","https://www.imdb.com/title/tt0064030/",7.5,"https://m.media-amazon.com/images/M/MV5BNTBiYWU5NmUtOTZkZi00NzU5LWFhYWQtMzM1ZjhjZTA1ZWQ3XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg","anneofthethousanddays.jpg",8,7,15
"Butch Cassidy and the Sundance Kid","George Roy Hill",1969,"1900","A-","B","https://www.imdb.com/title/tt0064115/",8,"https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_UX182_CR0,0,182,268_AL_.jpg","butchcassidyandthesundancekid.jpg",10,12,22
"Cromwell","Ken Hughes",1970,"1640","C-","D","https://www.imdb.com/title/tt0065593/",6.9,"https://m.media-amazon.com/images/M/MV5BMmE2MGJhYzAtN2JkYi00NGI3LWIyNjUtZjllODIzODhiNTY3XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","cromwell.jpg",4,6,10
